pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,Meal,HOV3+,7,355,3.479548417,10.84464088,0.823823981,soundcast
Child Age 0-4,Meal,HOV3+,8,540,4.294678093,11.92059063,0.91734989,soundcast
Child Age 0-4,Meal,HOV3+,9,640,3.941800665,11.00621712,0.318560873,soundcast
Child Age 0-4,Meal,HOV3+,10,773,4.266131467,11.26908048,0.162845038,soundcast
Child Age 0-4,Meal,HOV3+,11,804,4.149370246,11.12847904,0.225792471,soundcast
Child Age 0-4,Meal,HOV3+,12,715,4.587955572,11.79944584,0.322187097,soundcast
Child Age 0-4,Meal,HOV3+,13,842,3.984806056,10.91486535,0.250874847,soundcast
Child Age 0-4,Meal,HOV3+,14,778,4.136681578,11.42341564,0.489276822,soundcast
Child Age 0-4,Meal,HOV3+,15,700,4.963586556,13.05688195,0.950081948,soundcast
Child Age 0-4,Meal,HOV3+,16,669,4.275529836,12.2705014,1.157302594,soundcast
Child Age 0-4,Meal,HOV3+,17,637,4.396113929,12.42998279,1.029527531,soundcast
Child Age 0-4,Meal,HOV3+,18,476,4.524489233,12.16241485,0.607225779,soundcast
Child Age 0-4,Meal,HOV3+,19,331,4.555112218,12.11878881,0.469362825,soundcast
Child Age 0-4,Meal,HOV3+,20,229,4.89555085,11.96294393,-0.069588817,soundcast
Child Age 0-4,Meal,HOV3+,21,147,4.668887941,11.88365593,0.037805592,soundcast
Child Age 0-4,Meal,HOV3+,22,36,3.672883972,9.62353014,-0.523414304,soundcast
Child Age 0-4,Meal,HOV3+,23,27,6.974820754,13.83776017,-0.057795382,soundcast
Child Age 0-4,Meal,School Bus,14,1,0.950111869,5.967166005,0.817166005,soundcast
Child Age 0-4,Meal,School Bus,15,1,5.4,19.27,1.3,soundcast
Child Age 0-4,Meal,Transit,5,3,4.183333333,24.52294827,11.53961494,soundcast
Child Age 0-4,Meal,Transit,6,3,6.54,31.23861363,14.08194697,soundcast
Child Age 0-4,Meal,Transit,7,2,0.755,6.432122194,-0.537877806,soundcast
Child Age 0-4,Meal,Transit,8,4,3.3075,24.39532343,10.07782343,soundcast
Child Age 0-4,Meal,Transit,9,9,5.488888889,29.07100212,15.28766879,soundcast
Child Age 0-4,Meal,Transit,10,6,3.905,22.78453463,9.772867965,soundcast
Child Age 0-4,Meal,Transit,11,9,5.513333333,33.11014333,21.02014333,soundcast
Child Age 0-4,Meal,Transit,12,13,5.34,32.84462091,19.10385167,soundcast
Child Age 0-4,Meal,Transit,13,15,5.904,38.31763039,20.42696372,soundcast
Child Age 0-4,Meal,Transit,14,11,4.115454545,29.15608925,16.72699834,soundcast
Child Age 0-4,Meal,Transit,15,7,3.751428571,30.21380298,17.62094583,soundcast
Child Age 0-4,Meal,Transit,16,9,6.962222222,45.77962502,28.84184725,soundcast
Child Age 0-4,Meal,Transit,17,10,3.905,27.34240342,15.25140342,soundcast
Child Age 0-4,Meal,Transit,18,9,5.247777778,34.80637438,20.4185966,soundcast
Child Age 0-4,Meal,Transit,19,4,1.6175,19.55696979,12.41946979,soundcast
Child Age 0-4,Meal,Transit,20,2,1.765,18.88805493,8.16305493,soundcast
